AutoLeadID,leadcreationmonth,leadcreationday,actionableminute,attemptedcontactminute,adjustedattemptedcontactminute,actualcontactminute,firstappointmentday,firstappointmentconfirmationday,appointments,leadage,hasSalesRepEmail,hasSalesRepCall,hasCustomerReplyEmail,hasAutoResponderEmail,firstsalesrepemailday,firstsalesrepcallday,visits,firstvisitday,lastvisitday,pricechanges,firstpricechangeday,lastpricechangeday,Sold
169097395,1,1,0,7,7,41903,0,662,0,662,1,1,0,1,71,7,0,662,662,0,0,644,Active
169100184,1,1,0,1145,1145,32000,0,662,0,23,1,1,0,0,1604,1145,1,23,23,0,1,1,Sold
169105294,1,1,0,10,10,7221,46,662,2,46,1,1,0,1,24,10,1,46,46,0,0,315,Sold
169111036,1,1,0,1065,1065,952360,0,662,0,1,1,1,0,0,1065,2588,1,1,1,0,1,2,Sold
169111864,1,1,0,2,2,5751,5,5,1,5,1,1,1,1,2,1177,1,5,5,0,0,370,Sold
169112255,1,1,0,10,10,68,0,662,0,8,0,1,1,1,952340,10,0,662,662,0,0,99,Sold
169113447,1,1,0,12,12,10051,1,662,2,10,1,1,0,1,12,1522,2,10,10,0,0,392,Sold
169115763,1,1,0,1058,1058,7095,7,7,1,7,1,1,0,1,1058,2726,1,7,7,0,1,280,Sold
169115847,1,1,0,16,16,952284,0,662,0,662,1,1,0,1,16,1151,0,662,662,0,0,639,Active
169115893,1,1,1012,1069,57,2699,0,662,0,-1,1,1,1,1,1069,1070,1,1,1,0,0,6,Sold
169116223,1,1,0,1,1,1367,0,662,0,12,1,1,0,1,1,1,1,12,12,0,0,10,Sold
169117033,1,1,0,7,7,10299,0,662,0,1,1,1,1,1,8,7,1,1,1,0,0,457,Sold
169117438,1,1,0,952256,952256,952256,0,662,0,662,0,0,0,0,952256,952256,0,662,662,0,0,0,Active
169118448,1,1,997,952238,951241,952238,0,662,0,662,0,0,0,0,952238,952238,0,662,662,0,0,0,Active
169118759,1,1,0,204148,204148,563468,0,662,0,662,1,0,1,0,204158,952232,1,142,142,0,142,440,Active
169121309,1,1,884,826,-58,522457,550,550,1,5,1,1,1,1,889,826,1,5,5,0,0,363,Sold
169121730,1,1,0,1028,1028,1312,2,662,2,2,1,1,0,1,1029,1028,1,2,2,0,1,63,Sold
169123828,1,2,863,883,20,5297,4,661,1,6,1,1,0,1,883,1111,1,5,5,0,0,7,Sold
169124015,1,2,0,4,4,41229,0,661,0,661,1,1,0,1,4,15889,1,10,10,0,0,628,Active
169124395,1,2,0,844,844,6587,14,661,1,661,1,1,1,1,845,844,0,661,661,0,0,580,Active
169125381,1,2,773,126,-647,886,0,0,1,-2,1,1,0,1,126,885,1,0,0,0,0,611,Sold
169126202,1,2,0,787,787,29965,22,661,1,661,1,1,1,1,788,787,0,661,661,2,0,564,Active
169129078,1,2,672,13,-659,23863,1,661,1,3,1,1,1,1,13,702,1,1,1,0,0,385,Sold
169129944,1,2,684,1,-683,2231,1,661,3,661,1,1,0,1,1,758,1,1,1,0,0,525,Active
169134313,1,2,597,5229,4632,-213,0,661,8,0,0,1,0,0,951928,5229,0,661,661,0,3,63,Sold
169135099,1,2,551,545,-6,951912,0,661,0,661,1,1,0,1,659,545,0,661,661,0,0,658,Active
169135899,1,2,685,698,13,707,0,661,0,0,1,1,0,1,698,706,0,661,661,0,0,335,Sold
169137381,1,2,623,0,-623,-277,1,0,1,0,1,1,0,1,0,760,1,0,0,0,0,547,Sold
169137497,1,2,620,802,182,805,0,661,2,1,1,1,0,1,802,804,2,1,1,0,0,62,Sold
169138580,1,2,560,753,193,754,0,661,0,0,0,1,0,1,951831,753,1,0,0,0,0,0,Sold
169139048,1,2,488,4,-484,951819,0,661,0,661,1,1,0,1,4,390892,0,661,661,0,0,531,Active
169143528,1,2,333,333,0,951634,0,661,0,661,1,0,1,1,333,951634,0,661,661,0,0,639,Active
169143697,1,2,384,1,-383,-516,0,0,1,0,1,0,0,1,1,951625,1,0,0,0,0,547,Sold
169144213,1,2,265,2,-263,803,0,661,0,661,1,1,0,0,2,461,0,661,661,0,0,634,Active
169145236,1,2,263,276,13,277,-7,661,1,6,1,1,0,1,279,276,1,5,5,0,0,66,Sold
169147048,1,2,101,35,-66,1996,2,2,1,-2,1,1,0,1,35,261,1,2,2,0,0,550,Sold
169147575,1,2,78,85,7,4858,-125,-125,2,5,1,1,1,1,85,589,2,3,5,0,0,553,Sold
169149430,1,2,74,77,3,750753,0,661,0,-2,1,1,1,1,14920,77,1,0,0,0,0,521,Sold
169149673,1,2,5,5,0,3250,1,1,1,3,0,1,0,1,951336,5,0,661,661,0,0,54,Sold
169149677,1,2,5,6,1,246,0,661,1,661,1,1,0,1,6,149,1,0,0,0,0,594,Active
169150219,1,2,19,24,5,211971,0,661,0,661,1,1,1,1,24,39,0,661,661,0,0,480,Active
169150694,1,2,0,4,4,6069,4,661,2,661,1,1,1,1,4,89,0,661,661,0,0,306,Active
169150945,1,2,0,5,5,951304,0,661,0,661,1,1,0,1,469,5,0,661,661,0,0,631,Active
169151188,1,2,0,3,3,5,2,2,2,3,1,1,0,1,3,5,2,2,3,0,0,93,Sold
169155455,1,2,0,0,0,951255,0,661,0,661,1,1,0,1,0,41,0,661,661,0,0,606,Active
169157336,1,2,0,23,23,22,1,661,1,661,1,1,0,1,25,23,0,661,661,0,0,580,Active
169159844,1,2,0,33,33,1682,3,3,2,3,1,1,0,1,33,83,1,3,3,0,0,550,Sold
169161052,1,2,0,0,0,91,0,661,0,0,1,1,0,1,2,0,0,661,661,0,0,437,Sold
169162271,1,2,0,3,3,6264,0,661,0,0,1,1,1,1,3,18,0,661,661,0,0,548,Sold
169163381,1,2,0,113,113,193452,0,661,0,135,1,1,0,1,113,196157,1,135,135,0,0,319,Sold
169164407,1,2,0,140,140,0,0,0,1,0,1,1,0,1,17879,7504,1,0,0,0,0,151,Sold
169165599,1,2,0,1,1,63279,0,661,1,30,1,1,1,1,1,4,2,0,30,0,0,427,Sold
169166798,1,2,0,0,0,7256,0,661,0,661,1,1,0,1,0,284,0,661,661,0,0,607,Active
169166901,1,2,0,315,315,338,-1099,661,7,661,1,1,0,1,37326,315,0,661,661,0,0,503,Active
169169474,1,2,0,45,45,0,0,661,0,0,0,1,0,0,951151,4183,1,0,0,0,3,145,Sold
169171299,1,2,0,0,0,109733,0,0,1,0,1,1,1,1,10115,1336,1,0,0,0,0,462,Sold
169171356,1,2,0,10,10,1595,0,661,0,661,1,1,1,1,14,10,0,661,661,0,0,390,Active
169172464,1,2,0,17,17,-1009,0,661,0,3,1,1,0,1,17,17,0,661,661,0,0,34,Sold
169176395,1,2,0,951107,951107,951107,0,661,0,661,0,0,0,0,951107,951107,0,661,661,0,0,0,Active
169177961,1,2,0,59,59,223,1,661,1,0,1,1,1,1,253,59,1,1,1,0,0,396,Sold
169178101,1,2,0,8513,8513,63,-6,661,1,-4,1,1,1,1,8513,20503,0,661,661,0,0,63,Sold
169180999,1,2,0,52,52,7277,0,661,0,661,1,1,0,1,427458,52,0,661,661,0,0,644,Active
169181973,1,2,0,951069,951069,951069,0,661,0,661,0,0,0,0,951069,951069,0,661,661,0,0,0,Active
169182384,1,2,0,6,6,21781,22,661,1,24,1,1,1,1,6,4228,1,22,22,0,0,390,Sold
169183123,1,2,0,6,6,4461,0,661,0,3,1,1,0,1,6,4460,0,661,661,1,0,559,Sold
169183633,1,2,0,1,1,242,0,661,2,4,1,0,1,1,1,951057,0,661,661,0,0,369,Sold
169184047,1,2,0,951054,951054,951054,0,661,0,661,0,0,0,0,951054,951054,0,661,661,0,0,0,Active
169184482,1,2,0,30,30,30,10,10,1,8,0,1,0,0,951051,30,2,8,10,0,0,11,Sold
169188181,1,2,0,35,35,822671,0,661,0,-2,1,0,1,1,35,951030,1,0,0,0,0,572,Sold
169189749,1,2,0,6,6,23018,0,661,0,0,1,1,1,1,5735,6,1,1,1,0,0,379,Sold
169190745,1,2,0,951014,951014,0,-2,661,1,-2,0,0,0,1,951014,951014,0,661,661,0,0,2,Sold
169191481,1,2,0,14,14,20196,10,661,4,14,1,1,1,1,282,14,2,10,14,0,0,562,Sold
169191671,1,2,0,35,35,36,0,661,2,1,0,1,0,1,951010,35,1,0,0,0,0,366,Sold
169192256,1,2,0,7,7,951007,0,661,0,661,1,0,0,1,7,951007,0,661,661,0,0,639,Active
169195343,1,2,0,3,3,4502,0,661,0,661,1,1,0,1,8,3,0,661,661,0,0,651,Active
169196217,1,2,0,3,3,200,0,661,1,28,1,1,0,1,3,97,1,28,28,0,0,46,Sold
169196502,1,2,0,2,2,129641,0,661,0,661,1,1,1,1,4,2,0,661,661,0,0,492,Active
169197185,1,2,0,4,4,71,2,2,1,2,1,1,0,1,4,70,1,2,2,0,0,659,Sold
169201413,1,2,0,1,1,8893,1,661,1,3,1,1,1,1,1,74,1,2,2,0,0,22,Sold
169203092,1,2,0,11,11,158,1,661,3,1,1,1,0,1,11,157,3,0,1,0,0,152,Sold
169204412,1,2,0,13,13,41654,50,50,1,50,1,1,1,1,20271,13,2,49,50,0,0,51,Sold
169206250,1,2,0,10,10,1443,-85,661,1,661,1,1,0,0,12,10,0,661,661,0,0,627,Active
169209813,1,2,0,280103,280103,8837,0,661,0,7,0,0,0,1,950898,950898,0,661,661,0,14,195,Sold
169212361,1,2,0,-1,-1,0,0,661,0,0,0,0,0,1,950877,950877,1,0,0,0,4,9,Sold
169213283,1,2,0,10,10,1225,1,661,1,0,1,1,1,1,10,4123,0,661,661,0,0,638,Sold
169213941,1,2,0,176,176,8658,0,661,0,35,1,1,1,1,177,176,3,4,35,0,1,31,Sold
169215683,1,2,0,60,60,3405,0,661,0,1,1,1,1,1,5470,60,1,0,0,0,0,396,Sold
169219274,1,2,0,1,1,1,0,661,0,1,0,1,0,1,950823,1,1,1,1,0,0,6,Sold
169219564,1,2,0,18,18,19,21,21,1,661,1,1,0,1,24,18,1,21,21,0,0,571,Active
169220186,1,2,0,0,0,47390,1,661,1,1,1,1,1,1,4052,0,1,1,1,0,0,366,Sold
169221456,1,2,0,35,35,36,0,661,0,-2,0,1,0,1,950805,35,0,661,661,0,0,13,Sold
169221589,1,2,0,8,8,950804,0,661,0,661,1,1,0,1,8,8,0,661,661,0,0,639,Active
169222629,1,2,0,10,10,14307,2,14,2,14,1,1,1,1,10,14,1,13,13,0,0,561,Sold
169222860,1,2,0,45,45,4337,1,661,1,1,1,1,1,1,45,46,1,1,1,0,0,61,Sold
169225168,1,2,0,44,44,44,1,661,1,1,0,1,0,0,950775,44,0,661,661,0,0,0,Sold
169227825,1,2,0,10,10,10,0,661,0,0,0,1,0,1,950751,10,0,661,661,0,0,181,Sold
169228598,1,2,0,950743,950743,950743,0,661,0,661,0,0,0,0,950743,950743,0,661,661,0,0,0,Active
169230837,1,2,0,12,12,3803,0,661,0,3,1,1,0,1,12,952,1,6,6,0,0,490,Sold
169230995,1,2,0,286,286,210357,5,661,1,6,1,1,1,1,286,5833,2,5,6,0,1,147,Sold
169232069,1,2,0,34,34,38998,28,661,1,28,1,1,1,1,34,42,2,28,29,0,1,52,Sold
169232165,1,2,0,1439,1439,950705,0,661,0,17,1,0,0,0,1439,950705,0,661,661,0,1,20,Sold
169234568,1,3,0,2642,2642,2807,0,660,0,3,1,1,0,1,2642,2642,1,3,3,0,1,192,Sold
169234572,1,3,0,3,3,9841,0,660,0,3,1,1,0,1,3,4,1,3,3,0,0,10,Sold
169235729,1,3,0,3,3,70155,0,660,0,88,1,1,1,1,4,3,0,660,660,0,0,48,Sold
169238214,1,3,0,42,42,43,0,660,1,-1,0,1,0,1,950626,42,0,660,660,0,0,5,Sold
169243328,1,3,679,680,1,684,2,660,1,2,1,1,0,1,680,683,1,2,2,0,0,461,Sold
169245033,1,3,651,642,-9,2353,14,14,1,56,1,1,0,1,92909,642,2,14,56,0,0,521,Sold
169245495,1,3,0,15,15,30044,0,660,0,98,1,1,1,1,15,16,1,98,98,0,0,111,Sold
169245524,1,3,643,762,119,762,0,660,1,0,0,1,0,1,950504,762,1,0,0,0,0,0,Sold
169245988,1,3,604,950495,949891,950495,0,660,0,660,0,0,0,0,950495,950495,0,660,660,0,0,0,Active
169246174,1,3,630,624,-6,19692,0,10,2,10,1,1,1,1,637,624,1,0,0,0,0,62,Sold
169246513,1,3,0,88,88,89,76,660,1,75,1,1,0,1,108977,88,0,660,660,0,0,81,Sold
169246817,1,3,618,4,-614,692,330,330,1,660,1,1,0,1,4,691,0,660,660,0,0,553,Active
169247048,1,3,0,8,8,8,0,660,1,0,0,1,0,0,950474,8,0,660,660,0,0,0,Sold
169247892,1,3,596,733,137,14156,0,660,0,10,1,1,0,0,3749,733,1,10,10,0,0,24,Sold
169249104,1,3,628,1,-627,873,0,660,0,660,1,1,0,0,1,666,0,660,660,0,0,573,Active
169253435,1,3,588,611,23,1117,1,660,2,142,1,1,0,1,614,611,0,660,660,0,0,147,Sold
169253981,1,3,571,601,30,89899,0,660,0,62,1,1,1,1,601,887,0,660,660,2,0,69,Sold
169258688,1,3,282,5,-277,950083,0,660,0,660,1,1,0,1,5,3194,0,660,660,0,0,550,Active
169262662,1,3,0,4,4,2866,0,660,0,0,1,1,0,1,6,4,0,660,660,0,0,368,Sold
169264740,1,3,0,1,1,949851,0,660,0,660,1,1,1,1,9,1,0,660,660,0,0,550,Active
169266312,1,3,0,949831,949831,949831,0,660,0,660,0,0,0,0,949831,949831,0,660,660,0,0,0,Active
169266636,1,3,0,62,62,104,0,660,0,660,0,1,0,0,949827,62,0,660,660,0,0,369,Active
169267383,1,3,18,7,-11,7,0,660,0,660,1,1,0,0,15,7,0,660,660,0,0,630,Active
169268064,1,3,0,87,87,949810,0,660,0,7,1,1,0,1,95,87,1,7,7,0,0,7,Sold
169270204,1,3,0,31,31,11543,8,660,1,9,1,1,1,1,31,112,1,8,8,0,0,56,Sold
169270693,1,3,0,21,21,3354,3,3,2,47,1,1,1,1,21,450,1,47,47,0,0,160,Sold
169271291,1,3,0,18,18,19,0,660,0,-3,0,1,0,1,949775,18,1,0,0,0,0,69,Sold
169273159,1,3,0,142,142,193,0,660,3,660,1,1,0,1,142,142,1,0,0,1,0,331,Active
169277285,1,3,0,8,8,7717,7,7,1,7,1,0,1,1,8,949729,2,0,7,0,0,188,Sold
169277306,1,3,1488,1571,83,639274,55,660,1,1,1,1,1,1,397314,4490,1,1,1,0,0,444,Sold
169277609,1,3,0,2,2,396105,0,660,0,660,1,1,0,1,362,2,0,660,660,0,0,606,Active
169277947,1,3,0,11,11,11,0,0,1,0,1,1,0,1,12,11,0,660,660,0,0,547,Sold
169278308,1,3,0,949720,949720,949720,0,660,0,660,0,0,0,0,949720,949720,0,660,660,0,0,0,Active
169278597,1,3,1476,1536,60,1537,0,660,0,5,0,1,0,1,949717,1536,1,5,5,0,0,194,Sold
169279901,1,3,0,949704,949704,949704,0,660,0,660,0,0,0,0,949704,949704,0,660,660,0,0,0,Active
169280049,1,3,0,14,14,27,0,660,0,660,1,1,0,1,14,26,0,660,660,0,0,553,Active
169280337,1,3,0,20,20,368,1,1,1,1,1,1,0,1,20,367,1,1,1,0,0,388,Sold
169280467,1,3,0,23,23,1877,0,660,0,2,1,1,0,1,23,8703,1,2,2,0,0,49,Sold
169282932,1,3,0,2,2,949676,0,660,0,660,1,1,0,0,2,2,1,623,623,0,0,658,Active
169283375,1,3,0,28,28,52987,205,205,3,3,1,1,1,1,565,28,1,0,0,0,0,37,Sold
169286059,1,3,0,3,3,10110,0,660,0,660,0,1,0,0,949649,3,0,660,660,0,0,635,Active
169286290,1,3,0,949647,949647,949647,0,660,0,660,0,0,0,0,949647,949647,0,660,660,0,0,0,Active
169286336,1,3,0,21,21,21,4,660,1,0,1,1,0,1,2825,21,0,660,660,0,0,365,Sold
169287099,1,3,0,110,110,50618,36,36,1,36,1,1,0,1,110,51993,2,36,36,0,0,591,Sold
169287202,1,3,0,18,18,19,2,2,1,2,1,1,0,1,23,18,1,2,2,0,0,51,Sold
169291663,1,3,0,14,14,-1102,0,660,0,0,1,1,0,1,11441,13297,1,0,0,0,8,55,Sold
169292785,1,3,0,16,16,17,0,660,0,3,1,1,0,1,16,16,1,3,3,0,0,642,Sold
169295022,1,3,0,9,9,10,0,660,0,2,1,1,0,1,12,9,2,0,3,0,0,18,Sold
169295355,1,3,0,29,29,925856,0,660,0,660,1,1,1,1,29,205,0,660,660,0,0,645,Active
169297542,1,3,0,20,20,249,-384,660,2,1,1,1,1,1,22,20,1,1,1,0,0,15,Sold
169297854,1,3,0,31,31,9848,0,660,0,15,1,1,0,1,31,2760,2,7,15,0,0,311,Sold
169299411,1,3,0,13,13,3257,0,660,0,3,1,1,1,1,13,29,1,3,3,0,0,368,Sold
169300419,1,3,0,9,9,10,0,660,0,660,1,1,0,1,9,10,0,660,660,0,0,640,Active
169301407,1,3,0,-1,-1,-1189,0,660,0,0,0,1,0,1,949512,2864,1,0,0,0,0,20,Sold
169301939,1,3,0,48,48,49,2,660,1,3,1,1,0,1,3179,48,1,3,3,0,0,369,Sold
169303563,1,3,0,1,1,5,0,660,0,660,1,1,0,0,48675,1,0,660,660,0,0,553,Active
169305123,1,3,0,7,7,64,-690,660,3,2,1,1,0,1,7,64,1,1,1,0,0,370,Sold
169305739,1,3,0,-1,-1,619108,0,660,0,0,1,1,1,1,3034,30190,1,0,0,0,0,430,Sold
169306267,1,3,0,949471,949471,949471,0,660,0,660,0,0,0,0,949471,949471,0,660,660,0,0,0,Active
169308013,1,3,0,3,3,3074,2,660,1,2,1,1,0,1,5,3,0,660,660,0,0,34,Sold
169308835,1,3,0,4,4,65840,31,660,1,33,1,1,1,1,4,7108,3,31,33,0,0,122,Sold
169310725,1,3,0,1,1,106072,0,660,0,660,1,1,0,1,1,106071,0,660,660,0,0,563,Active
169313342,1,3,0,949409,949409,949409,0,660,0,660,0,0,0,0,949409,949409,0,660,660,0,0,0,Active
169318343,1,3,0,59,59,45837,0,660,0,30,1,1,1,1,59,42769,1,28,28,0,0,32,Sold
169318751,1,3,0,25,25,43098,23,660,1,32,1,1,1,1,4407,25,1,27,27,0,0,397,Sold
169321956,1,3,0,6,6,2943,4,660,1,3,1,1,0,1,6,47112,1,1,1,0,0,556,Sold
169322051,1,3,0,3,3,4,-554,660,3,33,1,1,0,1,15444,3,1,33,33,0,0,219,Sold
169327783,1,4,2238,2267,29,2268,2,659,2,659,1,1,0,1,2267,2267,1,2,2,0,0,330,Active
169328070,1,4,2323,2,-2321,45986,4,461,4,4,1,1,1,1,2,2344,1,4,4,0,0,369,Sold
169328705,1,4,0,160,160,231,3,659,1,2,1,1,1,1,160,160,0,659,659,0,0,618,Sold
169331499,1,4,0,20,20,89488,0,659,0,50,1,1,1,1,20,53,1,51,51,0,0,65,Sold
169331913,1,4,0,15,15,1287,0,659,0,40,1,1,0,1,15,87394,1,68,68,0,0,60,Sold
169332382,1,4,0,4,4,43,7,659,1,8,1,1,0,1,4,42,1,7,7,0,0,581,Sold
169334864,1,4,2202,2136,-66,2136,52,659,1,2,1,1,0,1,2313,2136,1,2,2,0,0,641,Sold
169336385,1,4,2112,2137,25,949093,0,659,0,659,1,1,0,1,2140,2137,0,659,659,0,0,639,Active
169337190,1,4,717,13,-704,53097,0,659,0,39,1,1,0,1,13,1364,1,39,39,0,0,407,Sold
169337397,1,4,2093,2103,10,949074,0,659,0,659,1,0,0,1,2103,949074,0,659,659,0,0,639,Active
169337897,1,4,2052,1,-2051,679049,0,659,0,659,1,1,1,0,1,2212,0,659,659,0,0,611,Active
169338040,1,4,819,852,33,852,0,659,0,0,1,1,0,1,856,852,1,0,0,0,0,183,Sold
169338151,1,4,2137,3,-2134,2146,0,659,0,659,1,1,0,0,3,2146,0,659,659,0,0,298,Active
169338539,1,4,2039,2,-2037,274962,0,659,0,659,1,1,1,0,2,6659,0,659,659,0,0,452,Active
169339410,1,4,0,931,931,1004,0,659,1,1,1,1,0,1,931,1030,1,1,1,0,0,366,Sold
169339651,1,4,2106,6,-2100,2116,2,2,1,3,1,1,0,1,6,2115,1,2,2,0,0,654,Sold
169339988,1,4,2038,2108,70,2329,0,659,0,659,1,0,1,1,2108,949019,0,659,659,0,1,561,Active
169340467,1,4,2027,2043,16,29790,0,659,0,659,1,0,1,1,2043,949008,0,659,659,0,0,639,Active
169340642,1,4,702,740,38,6396,4,5,1,4,1,1,0,1,740,741,0,659,659,0,0,376,Sold
169344375,1,4,1893,1902,9,1908,0,659,0,659,1,1,0,1,1903,1902,0,659,659,0,0,318,Active
169345677,1,4,1907,1931,24,3692,0,659,0,3,1,1,1,1,1931,3413,1,3,3,0,0,5,Sold
169347162,1,4,556,1916,1360,1916,3,659,1,3,1,1,0,1,1924,1916,1,3,3,0,0,7,Sold
169348632,1,4,1718,347,-1371,948729,0,659,0,659,1,1,0,1,347,1794,0,659,659,0,0,397,Active
169348944,1,4,1732,1803,71,948713,0,659,0,659,1,1,0,1,1803,1803,0,659,659,0,1,613,Active
169355428,1,4,106,118,12,6225,-312,659,3,4,1,1,1,1,118,134,1,4,4,0,0,402,Sold
169356021,1,4,1467,1543,76,1676,2,2,1,6,1,1,0,1,1586,1543,2,2,6,0,0,66,Sold
169356648,1,4,1386,1832,446,18948,0,659,0,1,1,1,0,1,1832,18948,1,1,1,0,0,13,Sold
169356724,1,4,64,85,21,584930,0,659,1,0,1,1,1,1,85,86,0,659,659,0,0,406,Sold
169358140,1,4,1434,37,-1397,4667,321,321,2,659,1,1,0,1,37,4667,0,659,659,0,0,625,Active
169358721,1,4,7,8,1,7433,0,659,0,13,1,1,1,1,8,10,1,13,13,0,0,611,Sold
169359397,1,4,169,178,9,229,0,659,1,1,1,1,0,1,178,8960,1,0,0,0,0,643,Sold
169359899,1,4,1297,1309,12,51581,6,6,2,7,1,1,1,1,1355,1309,1,6,6,0,1,653,Sold
169360424,1,4,1316,26,-1290,335907,-685,-685,2,659,1,1,1,0,1346,26,0,659,659,0,0,505,Active
169360685,1,4,1279,1289,10,36372,13,13,2,13,1,1,1,1,1289,1412,0,659,659,0,1,378,Sold
169360694,1,4,19,17,-2,39,0,659,0,0,1,0,1,1,17,948260,1,0,0,0,0,180,Sold
169361430,1,4,1263,1277,14,2860,0,659,0,1,1,1,0,1,1293,1277,2,1,20,0,1,461,Sold
169362356,1,4,1242,1251,9,948223,0,659,0,659,1,1,1,1,1251,1304,0,659,659,0,1,639,Active
169362729,1,4,1295,1205,-90,1206,0,659,0,659,0,1,0,1,948216,1205,0,659,659,0,0,25,Active
169363831,1,4,74,78,4,16168,12,659,1,12,1,1,1,1,78,196,1,12,12,0,0,656,Sold
169363835,1,4,1214,442,-772,14153,0,659,0,2,1,1,1,1,443,442,0,659,659,0,0,12,Sold
169366866,1,4,0,79,79,14432,0,659,0,3,1,0,1,0,79,948138,0,659,659,0,0,10,Sold
169369852,1,4,0,21,21,50,0,659,0,659,1,1,0,1,600562,21,0,659,659,0,0,417,Active
169370280,1,4,0,7,7,28961,20,659,1,21,1,1,1,1,7,99,1,20,20,1,0,389,Sold
169372223,1,4,0,0,0,1,0,0,1,0,0,1,0,0,948047,0,1,0,0,0,0,92,Sold
169372361,1,4,1124,1265,141,1265,-68,135,4,136,1,1,0,1,5849,1265,1,136,136,0,0,505,Sold
169373557,1,4,985,1034,49,16045,0,659,0,12,1,1,0,1,1078,1034,0,659,659,0,1,282,Sold
169375872,1,4,0,8,8,8750,0,659,0,2,1,1,1,1,11,8,1,1,1,0,0,367,Sold
169377375,1,4,0,42,42,61,0,659,0,0,1,1,0,1,42,60,0,659,659,0,0,648,Sold
169377779,1,4,0,13,13,18,0,659,0,1,1,1,0,0,13,17,1,1,1,0,0,62,Sold
169379331,1,4,1008,1072,64,27,20,659,1,1,1,1,1,1,1072,5332,1,1,1,0,0,274,Sold
169380364,1,4,990,1111,121,15655,1,659,3,6,1,1,1,1,1116,1111,3,1,6,0,0,371,Sold
169380442,1,4,0,21,21,20249,15,659,1,6,1,1,0,1,21,7255,0,659,659,0,0,32,Sold
